timestamp,temperature
2015-01-15T16:38:20.000Z,24.7
2015-01-15T16:38:30.000Z,24.5
2015-01-15T16:38:40.000Z,24.5
2015-01-15T16:38:50.000Z,24.5
2015-01-15T16:39:00.000Z,24.6
2015-01-15T16:39:10.000Z,24.6
2015-01-15T16:39:20.000Z,24.6
2015-01-15T16:39:31.000Z,24.6
2015-01-15T16:39:41.000Z,24.6
2015-01-15T16:39:51.000Z,24.6
2015-01-15T16:40:01.000Z,24.7
2015-01-15T16:40:11.000Z,24.7
2015-01-15T16:40:21.000Z,24.7
2015-01-15T16:40:31.000Z,24.7
2015-01-15T16:40:41.000Z,24.7
2015-01-15T16:40:52.000Z,24.7
2015-01-15T16:41:02.000Z,24.7
2015-01-15T16:41:12.000Z,24.7
2015-01-15T16:45:23.000Z,24.3
2015-01-15T16:46:04.000Z,23.6
2015-01-15T16:46:14.000Z,23.1
2015-01-15T16:46:24.000Z,23
2015-01-15T16:46:34.000Z,22.9
2015-01-15T16:46:45.000Z,22.8
2015-01-15T16:46:55.000Z,22.7
2015-01-15T16:47:05.000Z,22.6
2015-01-15T16:47:15.000Z,22.5
2015-01-15T16:47:25.000Z,22.5
2015-01-15T16:47:35.000Z,22.3
2015-01-15T16:47:45.000Z,22.3
2015-01-15T16:47:55.000Z,22.2
2015-01-15T16:48:05.000Z,22.1
2015-01-15T16:48:15.000Z,22
2015-01-15T16:48:25.000Z,21.9
2015-01-15T16:48:36.000Z,21.8
2015-01-15T16:48:46.000Z,21.8
2015-01-15T16:48:56.000Z,21.7
2015-01-15T16:49:06.000Z,21.6
2015-01-15T16:49:16.000Z,21.5
2015-01-15T16:49:26.000Z,21.4
2015-01-15T16:49:36.000Z,21.4
2015-01-15T16:49:46.000Z,21.3
2015-01-15T16:49:56.000Z,21.2
2015-01-15T16:50:07.000Z,21.2
2015-01-15T16:50:17.000Z,21.1
2015-01-15T16:50:27.000Z,21.1
2015-01-15T16:50:37.000Z,21
2015-01-15T16:50:47.000Z,20.9
2015-01-15T16:50:57.000Z,20.8
2015-01-15T16:51:07.000Z,20.8
2015-01-15T16:51:17.000Z,20.7
2015-01-15T16:51:27.000Z,20.6
2015-01-15T16:51:38.000Z,20.5
2015-01-15T16:51:48.000Z,20.5
2015-01-15T16:51:58.000Z,20.4
2015-01-15T16:52:08.000Z,20.4
2015-01-15T16:52:18.000Z,20.3
2015-01-15T16:52:28.000Z,20.3
2015-01-15T16:52:38.000Z,20.2
2015-01-15T16:52:48.000Z,20.1
2015-01-15T16:52:58.000Z,20.1
2015-01-15T16:53:08.000Z,20.1
2015-01-15T16:53:18.000Z,20
