UnderFour,Seniors,NonWhite,NonEnglish,Income,NoHighSchoolDegree,Poverty,TreeDensity,LiveAlone,SeniorLiveAlone,NursingHomes,JobDensity,RegionalTransitAccess,NoParkAccess,AirQuality,LivingTopFloor,PopulationDensity,SurfaceTemperature0508,SurfaceTemperature0908,AsthmaRates,NoAirConditioning
0.02783,0.154965,0.316256,0.091,123694.0,0.11953399999999999,0.049629207,4984,0.28278200000000003,0.049031,0.0,8307.07533658,1.0,0.013059000000000001,2.5,0.275646,50243.483243,303.600006,315,5.7,0.973684
0.027027,0.233187,0.219359,0.181735,72430.0,0.088297,0.08233058900000001,3130,0.402753,0.12806700000000001,0.0,11200.45950603,1.0,0.62402,2.8,0.237195,47989.661113999995,303.600006,315,5.699943,0.973686
0.024938,0.169576,0.457606,0.158954,70267.0,0.183239,0.167431193,2217,0.30299499999999996,0.05299500000000001,0.0,21406.72782875,1.0,0.001431,2.7,0.241094,33180.428135,303.600006,314,5.7,0.973684
0.044705,0.170836,0.68281,0.30303,72186.0,0.248667,0.13109161800000002,2929,0.18090699999999998,0.048687,0.0,17964.97584541,1.0,0.032781,2.6,0.2292,63254.83091799999,302.299988,314,5.7,0.973684
0.033596,0.164829,0.565879,0.220805,89789.0,0.17744000000000001,0.05415677,1598,0.22797699999999999,0.055179,0.0,8875.73964497,1.0,0.556874,2.7,0.209733,61124.260355,304.899994,315,5.7,0.973684
0.035012,0.141007,0.501199,0.153253,59565.0,0.18044200000000002,0.136763412,1692,0.25613600000000003,0.041053,0.0,27991.38726546,1.0,0.774385,3.2,0.217406,68932.63611200001,304.899994,314,5.7,0.973684
0.026733,0.173539,0.468962,0.252598,45727.0,0.200649,0.11032967,2190,0.28947399999999995,0.052632000000000005,0.0,26723.13084112,1.0,1.0,3.5,0.208947,66588.785047,303.100006,316,5.7,0.973684
0.02947,0.252456,0.411591,0.031311,65453.0,0.124857,0.129653402,2049,0.32466300000000003,0.038536,0.162813,71272.88578901,1.0,1.0,3.4,0.20619400000000002,45248.474281,303.100006,315,5.7,0.973684
0.046875,0.245028,0.551136,0.185407,195888.0,0.159699,0.08441158300000001,2897,0.253637,0.086022,0.0,8018.62390067,1.0,0.11359000000000001,2.0,0.203238,81789.963787,302.700012,313,6.236406,0.996202
0.030995,0.179445,0.252039,0.055762,168340.0,0.056058000000000004,0.041181041,2954,0.343411,0.06666699999999999,0.0,10169.49152542,1.0,0.14876199999999998,1.8,0.199475,62469.733656,301.700012,314,6.026491,0.98569
0.029216,0.240372,0.365206,0.132287,189612.0,0.13178299999999998,0.021518987000000003,3020,0.256936,0.082027,0.0,37754.43204202,0.92077755,0.164489,2.0,0.204038,27216.021011,301.700012,314,6.177333,0.992954
0.040631,0.232868,0.922984,0.564492,46332.0,0.41144200000000003,0.217718587,1107,0.112296,0.078608,0.0,29520.29520295,1.0,0.0,2.6,0.203101,93885.081708,302.5,315,6.3,1.0
0.030943,0.409057,0.771321,0.519031,50523.0,0.408854,0.17436564699999998,1358,0.334457,0.194201,0.0,22950.81967213,0.50122421,0.0035259999999999996,2.6,0.186447,69461.358314,302.700012,313,6.3,1.0
0.033803,0.321127,0.943662,0.676749,19738.0,0.580117,0.22445561100000003,2740,0.22788200000000003,0.151921,0.0,41552.51141553,0.99979275,0.196338,3.2,0.202629,102191.780822,300.899994,312,6.3,1.0
0.039517,0.356751,0.993963,0.835378,25235.0,0.589795,0.24734446100000002,1639,0.18677,0.142023,0.0,53365.81045173,0.51903854,0.0,3.1,0.22165300000000002,91054.030115,302.600006,313,6.299979,1.0
0.034343,0.30303,0.766667,0.418349,23925.0,0.42632200000000003,0.23591087800000002,2652,0.5546770000000001,0.200264,0.0,233569.42843024,0.02786104,0.08290800000000001,3.2,0.172262,12502.058969,302.399994,313,5.472948000000001,1.0
0.025346,0.215438,0.664747,0.441038,56628.0,0.347594,0.27520436,2002,0.293578,0.077326,0.017038,477572.55936675,0.0,0.405826,4.0,0.181385,6942.043490000001,300.899994,313,4.821339,1.0
0.050104,0.15762,0.599165,0.297578,27644.0,0.271654,0.328125,1533,0.35061,0.065041,0.0,395140.18691589,0.0,0.37406500000000004,4.7,0.102654,9196.261681999998,300.899994,314,8.3386,0.999998
0.037335,0.29063,0.907028,0.645429,36581.0,0.45698900000000003,0.17021276600000002,653,0.21989499999999998,0.115183,0.0,180186.48018648,0.0,0.0,3.1,0.193205,71235.431235,302.600006,312,6.299996,1.0
0.020325,0.156504,0.289295,0.055147,88756.0,0.050343,0.104035309,3030,0.43827200000000005,0.078395,0.0,41666.66666667,0.6202062,0.174852,2.6,0.18975899999999998,55785.12396699999,301.399994,315,6.1786,0.993022
0.032614,0.125941,0.366282,0.116809,56568.0,0.152266,0.12790168400000002,2706,0.424045,0.058248,0.0,20430.70127002,0.02582726,0.06015499999999999,2.9,0.164425,118498.067366,301.0,315,6.299995,1.0
0.028063,0.167693,0.316222,0.094439,92065.0,0.095935,0.137130802,3850,0.444144,0.10494200000000001,0.0,10295.43419875,0.75923103,0.7018909999999999,2.7,0.172218,132229.185318,300.100006,314,5.700076,0.973687
